label_definition,positive_rows,positive_share,notes
nonzero_session_overlap,19311,0.018416404724121094,Primary manuscript label.
nonzero_session_plus_exact_tuple_overlap,1233,0.0011758804321289062,Strict diagnostic evidence; too sparse for the primary target.
