seed,hard_proxy,no_outcome,difference_no_outcome_minus_hard_proxy
13,0.5140957063569331,0.5674406532866337,0.0533449469297006
42,0.5181306129224734,0.5594559713876998,0.041325358465226336
73,0.4876400353466725,0.5592844417465155,0.07164440639984299
101,0.48145178704202224,0.5562992706460227,0.07484748360400045
137,0.47831526236898503,0.5525383727399507,0.07422311037096563
