scenario,temporal,rows,features,train_rows,test_rows,train_positives,test_positives,test_prevalence,accuracy,balanced_accuracy,macro_f1,average_precision,roc_auc,positive_precision,positive_recall,positive_f1,true_negatives,false_positives,false_negatives,true_positives,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1,default_precision,default_recall,default_f1
xgboost_full_stratified,False,1048576,27,838860,209716,15449,3862,0.018415380800701903,0.9826193518854069,0.5311431562837265,0.5540075881477153,0.0939321226046561,0.634726817290431,0.909433962264151,0.06240290005178664,0.11679185849285195,205830,24,3621,241,0.25293898582458496,0.8519736842105263,0.06706369756602797,0.1243398943831013,0.909433962264151,0.06240290005178664,0.11679185849285195
xgboost_no_outcome_stratified,False,1048576,24,838860,209716,15449,3862,0.018415380800701903,0.9820233077113811,0.5172465100319953,0.5286468844822986,0.07180081441056656,0.635152155069485,0.7613636363636364,0.03469704816157431,0.06636948984645864,205812,42,3728,134,0.08226179331541061,0.3923809523809524,0.053340238218539615,0.09391383633462502,0.7613636363636364,0.03469704816157431,0.06636948984645864
xgboost_full_temporal_holdout,True,1048576,27,838860,209716,15483,3828,0.018253256785366878,0.982504911403994,0.5228190331601091,0.5391270828198363,0.07819047759698751,0.6384622578580224,0.9162303664921466,0.045715778474399164,0.08708633988554366,205872,16,3653,175,0.30990442633628845,0.8376068376068376,0.051201671891327065,0.0965041851304776,0.9162303664921466,0.045715778474399164,0.08708633988554366
