evaluation,model,feature_set,seed,k,true_positives,precision,recall,precision_cp95
rolling_origin_fold_1,XGBoost,no_outcome,42,250,177,0.708,0.7375,"[0.6473983478414025, 0.763592848236734]"
rolling_origin_fold_1,XGBoost,no_outcome,42,500,201,0.402,0.8375,"[0.3587142298518264, 0.4464515235679848]"
rolling_origin_fold_1,XGBoost,no_outcome,42,1000,210,0.21,0.875,"[0.18513884636850583, 0.23658098485781315]"
rolling_origin_fold_2,XGBoost,no_outcome,42,50,45,0.9,0.14240506329113925,"[0.7818646335657977, 0.9667249064109775]"
rolling_origin_fold_2,XGBoost,no_outcome,42,100,85,0.85,0.2689873417721519,"[0.7646924998510451, 0.9135456143583514]"
rolling_origin_fold_2,XGBoost,no_outcome,42,250,192,0.768,0.6075949367088608,"[0.7106596858330394, 0.8188654036207135]"
rolling_origin_fold_2,XGBoost,no_outcome,42,500,241,0.482,0.7626582278481012,"[0.437420836376088, 0.5267931648122824]"
rolling_origin_fold_2,XGBoost,no_outcome,42,1000,255,0.255,0.8069620253164557,"[0.22823942000190803, 0.2832111606970668]"
rolling_origin_fold_3,XGBoost,no_outcome,42,50,35,0.7,0.175,"[0.5539176743388218, 0.821382154335853]"
rolling_origin_fold_3,XGBoost,no_outcome,42,100,67,0.67,0.335,"[0.5688272492224368, 0.7608014653773981]"
rolling_origin_fold_3,XGBoost,no_outcome,42,250,144,0.576,0.72,"[0.5121436793932146, 0.6380324559123765]"
rolling_origin_fold_3,XGBoost,no_outcome,42,500,161,0.322,0.805,"[0.2812023914634842, 0.36491803195152994]"
rolling_origin_fold_3,XGBoost,no_outcome,42,1000,167,0.167,0.835,"[0.14439030619474671, 0.1915890701763092]"
