accuracy,balanced_accuracy,macro_f1,average_precision,roc_auc,pos_precision,pos_recall,tp,fp,fn,tn,top100_precision,top500_precision,run,seed,scale_pos_weight,wall_seconds
0.9825429749898672,0.52957984115824,0.5511884780777215,0.09176759647625904,0.6400193369523545,0.8910505836575876,0.059295701708959085,229,28,3633,205825,0.99,0.5,unweighted_s42,42,1.0,16.3
0.3908971699687671,0.5958540624773436,0.29955715052898724,0.09073170956096131,0.6378598058275122,0.024000553326877852,0.80864836872087,3123,126999,739,78854,0.99,0.502,weighted_s42,42,53.3,16.6
0.9825954271272918,0.530368785332561,0.5526445270850433,0.09059724628427089,0.6334931721361814,0.9108527131782945,0.06084930088037287,235,23,3627,205830,1.0,0.502,unweighted_s7,7,1.0,31.0
0.9825048279808312,0.5284170706974025,0.5491239421901465,0.09033121400310318,0.633485789786044,0.8906882591093117,0.05696530295183842,220,27,3642,205826,1.0,0.492,unweighted_s123,123,1.0,33.5
0.9998140333309491,0.9613343740601235,0.960399701086408,0.9737149794957214,0.9999726563726545,0.9190283400809717,0.9227642276422764,227,20,19,209449,0.99,0.492,strict_tuple_s42,42,1.0,21.2
0.982504911403994,0.5226908451550004,0.5388998415317283,0.07873567889469334,0.6377606965664383,0.9206349206349206,0.045454545454545456,174,15,3654,205873,1.0,0.404,chrono_base_s42,42,1.0,27.1
0.9824619962234641,0.5220280485860935,0.5376547855605137,0.0783746629051426,0.6426903805416805,0.898936170212766,0.044148380355276906,169,19,3659,205869,0.99,0.402,chrono_prop_s42,42,1.0,31.0
0.9626733296458068,0.5041302852791255,0.5039120234975876,0.017628108730360158,0.46723975738886675,0.025616698292220113,0.02821316614420063,108,4108,3720,201780,0.0,0.022,chrono_isoforest,42,,6.6
0.9612523603349291,0.5050730349097289,0.5045757413982774,0.020999088740290644,0.5145722977202161,0.026651982378854626,0.031609195402298854,121,4419,3707,201469,0.0,0.016,chrono_rarity,42,,1.6
0.9829292948559004,0.5299526571244644,0.5517424876386119,0.0924829883036469,0.635257574151808,0.8248175182481752,0.0601383714741884,113,24,1766,102955,1.0,0.268,rolling_f1,42,1.0,13.3
0.9824046081806651,0.5459682022493254,0.5794513109122147,0.12302749550797837,0.6469817316865972,0.9489795918367347,0.09203364670954972,186,10,1835,102826,1.0,0.384,rolling_f2,42,1.0,16.3
0.9831867859390795,0.5315214695175287,0.5547857600334033,0.10227855797450545,0.647686008475075,0.9007633587786259,0.06316916488222699,118,13,1750,102977,0.97,0.298,rolling_f3_80to90,42,1.0,0.0
0.9818230368689085,0.5142759959238413,0.5231618550075007,0.05581401644530988,0.6272481496437328,0.9655172413793104,0.02857142857142857,56,2,1904,102896,0.57,0.138,rolling_f4_90to100,42,1.0,0.0
