evidence_family,features,feature_columns,train_rows,test_rows,train_positives,test_positives,test_prevalence,accuracy,balanced_accuracy,macro_f1,average_precision,roc_auc,positive_precision,positive_recall,brier_score,ece_10bin,top_100_precision,top_100_recall,top_500_precision,fit_seconds,predict_seconds,fit_predict_seconds,predict_ms_per_1000_rows,device_used
traffic_context_only,17,Application; Source Zone; Destination Zone; Inbound Interface; Outbound Interface; IP Protocol; Source Port; Destination Port; Source Country; Destination Country; Category; Subcategory of app; Category of app; Technology of app; Risk of app; SaaS of app; AI Traffic,838860,209716,15449,3862,0.018415380800701903,0.9817467432146332,0.5045289020106999,0.5043728422909742,0.03549864739910254,0.6231853896672264,0.9722222222222222,0.009062661833247023,0.017854269593954086,8.861851496744356e-05,0.39,0.01009839461418954,0.098,37.01067009998951,2.4426665999926627,39.453336699982174,11.647497568104784,cpu
volume_only,7,Bytes; Bytes Sent; Bytes Received; Packets; Packets Sent; Packets Received; Elapsed Time (sec),838860,209716,15449,3862,0.018415380800701903,0.9820852963054798,0.5168969727339198,0.5280731671175047,0.06723131581795393,0.6307281733670986,0.8343949044585988,0.03392024857586742,0.01747940480709076,0.00015508004477584854,0.87,0.02252718798549974,0.35,21.843001800007187,0.4964967999840155,22.339498599991202,2.367472200423504,cpu
policy_action_only,3,Action; Threat/Content Type; Session End Reason,838860,209716,15449,3862,0.018415380800701903,0.9815846191992981,0.5,0.4953533700700243,0.033670114183207284,0.6330788920417455,0.0,0.0,0.017849886789917946,0.0001623528085481478,0.12,0.0031071983428275505,0.132,15.990308900014497,0.7568457999732345,16.747154699987732,3.6089082376796933,cpu
context_plus_volume,24,Application; Source Zone; Destination Zone; Inbound Interface; Outbound Interface; IP Protocol; Source Port; Destination Port; Source Country; Destination Country; Category; Subcategory of app; Category of app; Technology of app; Risk of app; SaaS of app; AI Traffic; Bytes; Bytes Sent; Bytes Received; Packets; Packets Sent; Packets Received; Elapsed Time (sec),838860,209716,15449,3862,0.018415380800701903,0.9820328444181655,0.5171243301521483,0.5284343476503625,0.07194108697872316,0.6347316631527153,0.7732558139534884,0.03443811496633868,0.01743583381175995,0.00015126679485361248,0.87,0.02252718798549974,0.402,37.90465579996817,2.4789824000326917,40.38363820000086,11.820664136416353,cpu
context_plus_policy_action,20,Application; Source Zone; Destination Zone; Inbound Interface; Outbound Interface; IP Protocol; Source Port; Destination Port; Source Country; Destination Country; Category; Subcategory of app; Category of app; Technology of app; Risk of app; SaaS of app; AI Traffic; Action; Threat/Content Type; Session End Reason,838860,209716,15449,3862,0.018415380800701903,0.9817991951019474,0.50608007227619,0.5074243578650633,0.05745728029639577,0.6315886544850859,0.9591836734693877,0.012169860176074573,0.017659759148955345,0.00012146933892790528,0.58,0.015018125323666495,0.286,35.307913700002246,2.7257525000022724,38.03366620000452,12.997351179701464,cpu
full_core,27,Application; Source Zone; Destination Zone; Inbound Interface; Outbound Interface; IP Protocol; Source Port; Destination Port; Source Country; Destination Country; Category; Subcategory of app; Category of app; Technology of app; Risk of app; SaaS of app; AI Traffic; Bytes; Bytes Sent; Bytes Received; Packets; Packets Sent; Packets Received; Elapsed Time (sec); Action; Threat/Content Type; Session End Reason,838860,209716,15449,3862,0.018415380800701903,0.9826193518854069,0.5313972316671149,0.5544351460464465,0.09464560792060066,0.6335599059797309,0.9033457249070632,0.0629207664422579,0.016960492357611656,0.00018310063733540044,1.0,0.02589331952356292,0.526,34.490839799982496,3.017532299971208,37.508372099953704,14.388660378660703,cpu
